Rank,SMU Current,SMU_Future,ARTLISH RIVER_Current,ARTLISH RIVER_Future,BEDWELL RIVER_Current,BEDWELL RIVER_Future,CANTON CREEK_Current,CANTON CREEK_Future,CLAYOQUOT RIVER-LOWER_Current,CLAYOQUOT RIVER-LOWER_Future,CONUMA RIVER_Current,CONUMA RIVER_Future,CYPRE RIVER_Current,CYPRE RIVER_Future,KAOUK RIVER_Current,KAOUK RIVER_Future,LEINER RIVER_Current,LEINER RIVER_Future,LOWER KENNEDY RIVER_Current,LOWER KENNEDY RIVER_Future,MEGIN RIVER_Current,MEGIN RIVER_Future,MOYEHA RIVER_Current,MOYEHA RIVER_Future,MURIEL LAKE_Current,MURIEL LAKE_Future,NAHMINT RIVER_Current,NAHMINT RIVER_Future,SAND RIVER_Current,SAND RIVER_Future,SARITA RIVER_Current,SARITA RIVER_Future,SOMASS RIVER_Current,SOMASS RIVER_Future,SUCWOA RIVER_Current,SUCWOA RIVER_Future,TAHSIS RIVER_Current,TAHSIS RIVER_Future,TOQUART RIVER_Current,TOQUART RIVER_Future,TRANQUIL CREEK_Current,TRANQUIL CREEK_Future,TSOWWIN RIVER_Current,TSOWWIN RIVER_Future,UPPER KENNEDY RIVER_Current,UPPER KENNEDY RIVER_Future
1,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.","LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF9: Mortality or fitness reduction due to fishing,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)
2,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF25: Mortality or fitness reduction due to lower quality spawning gravel,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF9: Mortality or fitness reduction due to fishing,LF9: Mortality or fitness reduction due to fishing,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens","LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",LF25: Mortality or fitness reduction due to lower quality spawning gravel,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF16: Mortality due to elevated levels of predation of eggs and alevin,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat
3,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF25: Mortality or fitness reduction due to lower quality spawning gravel,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF21: Mortality or fitness reduction due to dewatered redds at low flows,LF21: Mortality or fitness reduction due to dewatered redds at low flows,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF11: Mortality or fitness reduction due to unfavourable water temperatures,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens","LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF39: Mortality or fitness reduction from stranding in rearing habitat,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF9: Mortality or fitness reduction due to fishing,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF5: Mortality or fitness reduction due to competition with invasive species,LF17: Mortality or fitness reduction due to predation by or presence of invasive species,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour
4,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens","LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens","LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF9: Mortality or fitness reduction due to fishing,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.","LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc","LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF61: Mortality or fitness reduction due to unfavourable water temperatures,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF18: Mortality due to redd disturbance by humans,LF9: Mortality or fitness reduction due to fishing,LF9: Mortality or fitness reduction due to fishing
5,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF21: Mortality or fitness reduction due to dewatered redds at low flows,LF21: Mortality or fitness reduction due to dewatered redds at low flows,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF5: Mortality or fitness reduction due to competition with invasive species,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF39: Mortality or fitness reduction from stranding in rearing habitat,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF39: Mortality or fitness reduction from stranding in rearing habitat,LF39: Mortality or fitness reduction from stranding in rearing habitat,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat,LF56: Mortality or fitness reduction due to reduction in quality channel habitat,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat,LF9: Mortality or fitness reduction due to fishing,LF20: Mortality or fitness reduction due to redd overspawn,LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF11: Mortality or fitness reduction due to unfavourable water temperatures
6,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",LF5: Mortality or fitness reduction due to competition with invasive species,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF16: Mortality due to elevated levels of predation of eggs and alevin,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,LF9: Mortality or fitness reduction due to fishing,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat,LF57: Mortality or fitness reduction due to reduction in quantity channel habitat,LF9: Mortality or fitness reduction due to fishing,LF9: Mortality or fitness reduction due to fishing,LF5: Mortality or fitness reduction due to competition with invasive species,LF5: Mortality or fitness reduction due to competition with invasive species,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF25: Mortality or fitness reduction due to lower quality spawning gravel,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat,LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates,LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF39: Mortality or fitness reduction from stranding in rearing habitat,LF39: Mortality or fitness reduction from stranding in rearing habitat
7,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF9: Mortality or fitness reduction due to fishing,LF9: Mortality or fitness reduction due to fishing,LF39: Mortality or fitness reduction from stranding in rearing habitat,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF5: Mortality or fitness reduction due to competition with invasive species,LF17: Mortality or fitness reduction due to predation by or presence of invasive species,LF5: Mortality or fitness reduction due to competition with invasive species,LF16: Mortality due to elevated levels of predation of eggs and alevin,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF9: Mortality or fitness reduction due to fishing,LF9: Mortality or fitness reduction due to fishing,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF11: Mortality or fitness reduction due to unfavourable water temperatures,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat,LF34: Mortality or fitness reduction due to competition from invasive species,LF34: Mortality or fitness reduction due to competition from invasive species,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,LF16: Mortality due to elevated levels of predation of eggs and alevin,LF34: Mortality or fitness reduction due to competition from invasive species,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing
