"","source","X","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"41","1",41,6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",4,0,0,0.25,1,0,0,0.5,2,0,0,0,0,0.25,1
"42","1",42,7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",4,0,0,0.25,1,0,0,0.25,1,0.25,1,0,0,0.25,1
"43","1",43,50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",4,0,0,0,0,0,0,0.75,3,0,0,0.25,1,0,0
"44","1",44,1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",4,0,0,0,0,0,0,0.5,2,0.25,1,0,0,0.25,1
"45","1",45,8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",4,0,0,0,0,0,0,0.25,1,0.25,1,0.5,2,0,0
"46","1",46,30,"LF30: Mortality or fitness reduction as a result of elevated predation",4,0,0,0,0,0,0,0.25,1,0.25,1,0,0,0.5,2
"47","1",47,3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",4,0,0,0,0,0,0,0.25,1,0,0,0.75,3,0,0
"48","1",48,34,"LF34: Mortality or fitness reduction due to competition from invasive species",4,0,0,0,0,0,0,0.25,1,0,0,0.75,3,0,0
"49","1",49,39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",4,0,0,0,0,0,0,0.25,1,0,0,0.75,3,0,0
"50","1",50,16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",4,0,0,0,0,0,0,0.25,1,0,0,0,0,0.75,3
"51","1",51,47,"LF47: Mortality or fitness reduction due to elevated predation",4,0,0,0,0,0,0,0.25,1,0,0,0,0,0.75,3
"52","1",52,70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",4,0,0,0,0,0,0,0,0,0.75,3,0.25,1,0,0
"53","1",53,21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",4,0,0,0,0,0,0,0,0,0.25,1,0.5,2,0.25,1
"54","1",54,12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",4,0,0,0,0,0,0,0,0,0.25,1,0.25,1,0.5,2
"55","1",55,15,"LF15: Mortality or fitness reduction due to deleterious substances",4,0,0,0,0,0,0,0,0,0.25,1,0.25,1,0.5,2
"56","1",56,65,"LF65: Mortality or fitness reduction due to deleterious substances",4,0,0,0,0,0,0,0,0,0.25,1,0.25,1,0.5,2
"57","1",57,5,"LF5: Mortality or fitness reduction due to competition with invasive species",4,0,0,0,0,0,0,0,0,0.25,1,0,0,0.75,3
"58","1",58,32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",4,0,0,0,0,0,0,0,0,0,0,1,4,0,0
"59","1",59,17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",4,0,0,0,0,0,0,0,0,0,0,0.5,2,0.5,2
"60","1",60,40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",4,0,0,0,0,0,0,0,0,0,0,0.25,1,0.75,3
"61","1",61,46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",4,0,0,0,0,0,0,0,0,0,0,0.25,1,0.75,3
"62","1",62,48,"LF48: Mortality or fitness reduction due to predation by invasive species",4,0,0,0,0,0,0,0,0,0,0,0.25,1,0.75,3
"63","1",63,4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",4,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"64","1",64,13,"LF13: Mortality or fitness reduction as a result of poor pH levels",4,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"65","1",65,14,"LF14: Mortality or fitness reduction as a result of changes to salinity",4,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"66","1",66,18,"LF18: Mortality due to redd disturbance by humans",4,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"67","1",67,29,"LF29: Mortality or fitness reduction due to deleterious substances",4,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"68","1",68,31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",4,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"69","2",1,4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"70","2",2,10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"71","2",3,13,"LF13: Mortality or fitness reduction as a result of poor pH levels",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"72","2",4,14,"LF14: Mortality or fitness reduction as a result of changes to salinity",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"73","2",5,26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"74","2",6,27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"75","2",7,28,"LF28: Mortality or fitness reduction as a result of poor pH levels",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"76","2",8,33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"77","2",9,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"78","2",10,42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"79","2",11,43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"80","2",12,44,"LF44: Mortality or fitness reduction as a result of poor pH levels",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"81","2",13,49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"82","2",14,52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"83","2",15,54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"84","2",16,55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"85","2",17,56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
