"","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"34",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",14,0,0,0,0,0,0,1,14,0,0,0,0,0,0
"35",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",14,0,0,0,0,0,0,1,14,0,0,0,0,0,0
"36",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",14,0,0,0,0,0,0,1,14,0,0,0,0,0,0
"37",49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",14,0,0,0,0,0,0,1,14,0,0,0,0,0,0
"38",60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",14,0,0,0,0,0,0,1,14,0,0,0,0,0,0
"39",63,"LF63: Mortality or fitness reduction as a result of poor pH levels",14,0,0,0,0,0,0,1,14,0,0,0,0,0,0
"40",64,"LF64: Mortality or fitness reduction due to increases in salinity",14,0,0,0,0,0,0,1,14,0,0,0,0,0,0
"41",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",14,0,0,0,0,0,0,0.928571428571429,13,0.0714285714285714,1,0,0,0,0
"42",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",14,0,0,0,0,0,0,0.928571428571429,13,0.0714285714285714,1,0,0,0,0
"43",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",14,0,0,0,0,0,0,0.928571428571429,13,0,0,0.0714285714285714,1,0,0
"44",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",14,0,0,0,0,0,0,0.928571428571429,13,0,0,0.0714285714285714,1,0,0
"45",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",14,0,0,0,0,0,0,0.928571428571429,13,0,0,0.0714285714285714,1,0,0
"46",27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",14,0,0,0,0,0,0,0.928571428571429,13,0,0,0,0,0.0714285714285714,1
"47",28,"LF28: Mortality or fitness reduction as a result of poor pH levels",14,0,0,0,0,0,0,0.928571428571429,13,0,0,0,0,0.0714285714285714,1
"48",19,"LF19: Mortality or fitness reduction due to early alevin emergence",14,0,0,0,0,0,0,0.714285714285714,10,0,0,0.0714285714285714,1,0.214285714285714,3
"49",4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",14,0,0,0,0,0,0,0.714285714285714,10,0,0,0,0,0.285714285714286,4
"50",13,"LF13: Mortality or fitness reduction as a result of poor pH levels",14,0,0,0,0,0,0,0.714285714285714,10,0,0,0,0,0.285714285714286,4
"51",14,"LF14: Mortality or fitness reduction as a result of changes to salinity",14,0,0,0,0,0,0,0.714285714285714,10,0,0,0,0,0.285714285714286,4
"52",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",14,0,0,0,0,0,0,0.571428571428571,8,0.142857142857143,2,0.285714285714286,4,0,0
"53",15,"LF15: Mortality or fitness reduction due to deleterious substances",14,0,0,0,0,0,0,0.571428571428571,8,0.0714285714285714,1,0.214285714285714,3,0.142857142857143,2
"54",45,"LF45: Mortality or fitness reduction as a result of deleterious substances",14,0,0,0,0,0,0,0.571428571428571,8,0,0,0.142857142857143,2,0.285714285714286,4
"55",65,"LF65: Mortality or fitness reduction due to deleterious substances",14,0,0,0,0,0,0,0.5,7,0.0714285714285714,1,0.285714285714286,4,0.142857142857143,2
"56",29,"LF29: Mortality or fitness reduction due to deleterious substances",14,0,0,0,0,0,0,0.285714285714286,4,0,0,0.214285714285714,3,0.5,7
"57",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",14,0,0,0,0,0,0,0.214285714285714,3,0,0,0.785714285714286,11,0,0
"58",2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",14,0,0,0,0,0,0,0.0714285714285714,1,0.0714285714285714,1,0.714285714285714,10,0.142857142857143,2
"59",66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",14,0,0,0,0,0,0,0.0714285714285714,1,0,0,0,0,0.928571428571429,13
"60",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",14,0,0,0,0,0,0,0,0,0.0714285714285714,1,0.857142857142857,12,0.0714285714285714,1
"61",5,"LF5: Mortality or fitness reduction due to competition with invasive species",14,0,0,0,0,0,0,0,0,0.0714285714285714,1,0.714285714285714,10,0.214285714285714,3
"62",12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",14,0,0,0,0,0,0,0,0,0.0714285714285714,1,0.0714285714285714,1,0.857142857142857,12
"63",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",14,0,0,0,0,0,0,0,0,0,0,1,14,0,0
"64",17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",14,0,0,0,0,0,0,0,0,0,0,0.857142857142857,12,0.142857142857143,2
"65",48,"LF48: Mortality or fitness reduction due to predation by invasive species",14,0,0,0,0,0,0,0,0,0,0,0.785714285714286,11,0.214285714285714,3
"66",18,"LF18: Mortality due to redd disturbance by humans",14,0,0,0,0,0,0,0,0,0,0,0.714285714285714,10,0.285714285714286,4
"67",46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",14,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,1,0.928571428571429,13
"68",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",14,0,0,0,0,0,0,0,0,0,0,0,0,1,14
