"","X","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",1,36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",22,0.363636363636364,8,0.136363636363636,3,0.136363636363636,3,0.227272727272727,5,0,0,0.136363636363636,3,0,0
"2",2,37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",22,0.318181818181818,7,0.181818181818182,4,0.136363636363636,3,0.181818181818182,4,0,0,0.136363636363636,3,0.0454545454545455,1
"3",3,6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",22,0.272727272727273,6,0.272727272727273,6,0.0909090909090909,2,0.0909090909090909,2,0.0454545454545455,1,0.181818181818182,4,0.0454545454545455,1
"4",4,68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",22,0.272727272727273,6,0.0454545454545455,1,0.0909090909090909,2,0.545454545454545,12,0,0,0.0454545454545455,1,0,0
"5",5,69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",22,0.227272727272727,5,0.136363636363636,3,0.0909090909090909,2,0.272727272727273,6,0,0,0.181818181818182,4,0.0909090909090909,2
"6",6,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",22,0.181818181818182,4,0.0454545454545455,1,0,0,0.727272727272727,16,0,0,0.0454545454545455,1,0,0
"7",7,67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",22,0.136363636363636,3,0.272727272727273,6,0,0,0.545454545454545,12,0,0,0,0,0.0454545454545455,1
"8",8,59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",22,0.0909090909090909,2,0.272727272727273,6,0,0,0.545454545454545,12,0,0,0,0,0.0909090909090909,2
"9",9,7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",22,0.0909090909090909,2,0.181818181818182,4,0.136363636363636,3,0.0454545454545455,1,0.136363636363636,3,0.318181818181818,7,0.0909090909090909,2
"10",10,58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",22,0.0454545454545455,1,0.272727272727273,6,0,0,0.636363636363636,14,0,0,0,0,0.0454545454545455,1
"11",11,38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",22,0.0454545454545455,1,0.227272727272727,5,0.136363636363636,3,0.363636363636364,8,0,0,0.227272727272727,5,0,0
